COUNT,,BUCKET,,PAYLOAD,,TIME
0,,40.0,,0.0,,14:12:09
0,,41.0,,0.0,,14:13:46
1,,40.0,,41.0,,14:13:57
0,,42.0,,0.0,,15:47:00
1,,40.0,,42.0,,15:47:07
2,,40.0,,82.0,,15:47:14
3,,40.0,,122.0,,15:47:20
4,,40.0,,162.0,,15:47:27
5,,40.0,,202.0,,15:47:33
6,,40.0,,242.0,,15:47:40
7,,40.0,,282.0,,15:47:46
